,loss_hist['train'],loss_hist['val'],accuracy_hist['train'],accuracy_hist['val']
0,403.25643200166525,0.23530546337366104,81.96875,88.86107634543178
1,0.1602503432519734,0.0937075226008892,94.59375,97.24655819774718
2,0.09675450422801077,0.059884197730571034,96.78125,97.62202753441802
3,0.07666793989483267,0.048153839744627475,97.65625,98.74843554443054
4,0.05905385992839001,0.1292960238456726,97.9375,95.1188986232791
5,0.08837529404030647,0.5047047340869903,97.25,81.72715894868585
6,0.06497010804712772,0.0349679346382618,97.9375,99.37421777221527
7,0.08428778685163707,0.040893870033323766,97.65625,98.87359198998749
8,0.04827717238047626,0.04119463543989696,98.375,98.49812265331664
9,1.1729589190392289,0.044442200362682344,93.71875,98.3729662077597
10,0.05067869793769205,0.34044010676443576,98.375,91.48936170212765
11,0.07869959505798761,0.03164559088414535,97.625,98.87359198998749
12,0.04361551340967708,0.03653139989983174,98.75,98.99874843554443
13,0.048598436104512074,0.02582693674135953,98.84375,99.37421777221527
14,0.0726776030052497,0.044198447838425636,97.5625,98.3729662077597
15,0.1281076981437491,0.03673930041491985,97.59375,98.6232790988736
16,0.04247415977326455,0.03980337546439841,98.59375,98.74843554443054
17,0.04900333168752695,0.025906354617327453,98.65625,99.49937421777221
18,0.0374344151371406,0.022325486599002034,98.8125,99.62453066332917
19,0.2506687257617159,0.04117720768786967,97.09375,98.87359198998749
20,0.0397332626136631,0.020508232042193413,98.75,99.62453066332917
21,0.02766667951051204,0.024327924633107612,99.1875,99.37421777221527
22,0.026668222101570792,0.030219189805509358,99.25,99.37421777221527
23,0.04301585444678494,0.010228590369224548,98.8125,99.62453066332917
24,0.03412406676752653,0.026225836488938514,99.0625,99.37421777221527
25,0.05197844096654535,0.02319103721762076,98.65625,99.37421777221527
26,0.02897321244163322,0.022026074009772856,99.28125,99.62453066332917
27,0.6554989948836465,0.024550980323983822,97.65625,99.24906132665832
28,0.02243854993862385,0.02455028833012875,99.25,99.62453066332917
29,0.025781313097081694,0.030067429453715704,99.40625,99.62453066332917
30,0.02582829000305992,0.02879090625967365,99.25,99.62453066332917
31,0.022400932750332742,0.024232427689003088,99.375,99.49937421777221
32,0.10062085896351278,0.06610215453154974,98.40625,99.37421777221527
33,0.051148207718451036,0.04816467324282712,98.8125,99.37421777221527
34,0.02522161569539321,0.011389778547745665,99.1875,99.7496871088861
35,0.029567425125562572,0.05520533307914878,99.21875,99.49937421777221
36,0.0346673473231408,0.044548239229073305,98.9375,99.37421777221527
37,0.06358939906652492,0.030286040337305167,98.75,99.62453066332917
38,0.025754902722633234,0.029508086051901045,99.21875,99.37421777221527
39,0.025818801829350944,0.06339424456740153,99.25,99.62453066332917
40,0.0677255466873235,0.03205151333236216,99.03125,99.62453066332917
41,0.03258729348821873,0.0604989753375412,99.34375,97.74718397997496
42,0.03431043968011565,0.03986600978391152,99.0625,99.49937421777221
43,0.03538807722691722,0.053756793182401015,99.21875,99.49937421777221
44,0.041976555260277736,0.02052579112140819,99.34375,99.87484355444306
45,0.035283344376857144,0.028792797823235787,99.21875,99.62453066332917
46,0.018415705414239546,0.03465829729487124,99.5625,99.7496871088861
47,0.024984265328567866,0.024899668878387047,99.25,99.7496871088861
48,0.01285690478625639,0.03351940725716304,99.71875,99.62453066332917
49,0.019463896370177168,0.027683393803054058,99.53125,99.7496871088861
50,0.0206534303978533,0.02597983374755506,99.28125,99.87484355444306
51,0.023173338689568623,0.02046626400569493,99.5,99.87484355444306
52,0.025315585457315524,0.03070450627704446,99.5,99.62453066332917
53,0.017452096656479572,0.02246384909591825,99.625,99.7496871088861
54,0.012570501905742689,0.03842894482804013,99.53125,99.49937421777221
55,0.01701064381100469,0.03336046249519086,99.5625,99.49937421777221
56,0.053724469057716835,0.021036916883088813,99.21875,99.87484355444306
57,0.013323183464494761,0.025019640446338087,99.78125,99.87484355444306
58,0.021197181108664403,0.03565903637137183,99.6875,99.7496871088861
59,0.010818509352864429,0.03857573938409246,99.625,99.37421777221527
